Well,OD,BioRep,Col,Dose
A1,0.427300006,A,1,0.0
B1,0.398600012,B,1,0.0
C1,0.425999999,C,1,0.0
D1,0.424800009,D,1,0.0
E1,0.422899991,E,1,0.0
F1,0.434500009,F,1,0.0
G1,0.456400007,G,1,0.0
H1,0.173199996,H,1,0.0
A2,0.43900001,A,2,0.0
B2,0.382200003,B,2,0.0
C2,0.406800002,C,2,0.0
D2,0.41870001,D,2,0.0
E2,0.405000001,E,2,0.0
F2,0.414600015,F,2,0.0
G2,0.418099999,G,2,0.0
H2,0.195500001,H,2,0.0
A3,0.431899995,A,3,0.0
B3,0.391299993,B,3,0.0
C3,0.407299995,C,3,0.0
D3,0.412,D,3,0.0
E3,0.406100005,E,3,0.0
F3,0.4199,F,3,0.0
G3,0.424699992,G,3,0.0
H3,0.198400006,H,3,0.0
A4,0.439300001,A,4,10000.0
B4,0.400999993,B,4,10000.0
C4,0.426699996,C,4,10000.0
D4,0.407900006,D,4,10000.0
E4,0.419999987,E,4,10000.0
F4,0.429399997,F,4,10000.0
G4,0.434300005,G,4,10000.0
H4,0.199399993,H,4,10000.0
A5,0.442699999,A,5,10000.0
B5,0.386799991,B,5,10000.0
C5,0.418000013,C,5,10000.0
D5,0.420899987,D,5,10000.0
E5,0.431899995,E,5,10000.0
F5,0.428299993,F,5,10000.0
G5,0.435000002,G,5,10000.0
H5,0.2104,H,5,10000.0
A6,0.442499995,A,6,10000.0
B6,0.396299988,B,6,10000.0
C6,0.434199989,C,6,10000.0
D6,0.437299997,D,6,10000.0
E6,0.435900003,E,6,10000.0
F6,0.438300014,F,6,10000.0
G6,0.447600007,G,6,10000.0
H6,0.210199997,H,6,10000.0
A7,0.454699993,A,7,1000000.0
B7,0.389200002,B,7,1000000.0
C7,0.437400013,C,7,1000000.0
D7,0.435699999,D,7,1000000.0
E7,0.429699987,E,7,1000000.0
F7,0.439200014,F,7,1000000.0
G7,0.451900005,G,7,1000000.0
H7,0.215700001,H,7,1000000.0
A8,0.419,A,8,1000000.0
B8,0.392399997,B,8,1000000.0
C8,0.430700004,C,8,1000000.0
D8,0.440600008,D,8,1000000.0
E8,0.419200003,E,8,1000000.0
F8,0.452899992,F,8,1000000.0
G8,0.456099987,G,8,1000000.0
H8,0.219400004,H,8,1000000.0
A9,0.422300011,A,9,1000000.0
B9,0.389800012,B,9,1000000.0
C9,0.414700001,C,9,1000000.0
D9,0.423099995,D,9,1000000.0
E9,0.416599989,E,9,1000000.0
F9,0.431100011,F,9,1000000.0
G9,0.458299994,G,9,1000000.0
H9,0.216900006,H,9,1000000.0
A10,0.418099999,A,10,100000000.0
B10,0.378899992,B,10,100000000.0
C10,0.41080001,C,10,100000000.0
D10,0.407299995,D,10,100000000.0
E10,0.412999988,E,10,100000000.0
F10,0.42019999,F,10,100000000.0
G10,0.424699992,G,10,100000000.0
H10,0.229499996,H,10,100000000.0
A11,0.424100012,A,11,100000000.0
B11,0.383899987,B,11,100000000.0
C11,0.412,C,11,100000000.0
D11,0.4199,D,11,100000000.0
E11,0.415199995,E,11,100000000.0
F11,0.423400015,F,11,100000000.0
G11,0.414200008,G,11,100000000.0
H11,0.210800007,H,11,100000000.0
A12,0.430999994,A,12,100000000.0
B12,0.379099995,B,12,100000000.0
C12,0.422100008,C,12,100000000.0
D12,0.423500001,D,12,100000000.0
E12,0.4199,E,12,100000000.0
F12,0.423700005,F,12,100000000.0
G12,0.436800003,G,12,100000000.0
H12,0.236000001,H,12,100000000.0
