Well,OD,BioRep,Col,Dose
A1,1.114899993,A,1,0.0
B1,1.203799963,B,1,0.0
C1,1.113399982,C,1,0.0
D1,1.153499961,D,1,0.0
E1,1.152999997,E,1,0.0
F1,1.126199961,F,1,0.0
G1,1.193099976,G,1,0.0
H1,0.343899995,H,1,0.0
A2,1.092700005,A,2,0.0
B2,1.139700055,B,2,0.0
C2,1.096300006,C,2,0.0
D2,1.102399945,D,2,0.0
E2,1.115399957,E,2,0.0
F2,1.145799994,F,2,0.0
G2,1.116600037,G,2,0.0
H2,0.353399992,H,2,0.0
A3,1.107800007,A,3,0.0
B3,1.174499989,B,3,0.0
C3,1.085000038,C,3,0.0
D3,1.061100006,D,3,0.0
E3,1.131800056,E,3,0.0
F3,1.160899997,F,3,0.0
G3,1.105599999,G,3,0.0
H3,0.3583,H,3,0.0
A4,1.13440001,A,4,10000.0
B4,1.293900013,B,4,10000.0
C4,1.072600007,C,4,10000.0
D4,1.081500053,D,4,10000.0
E4,1.24240005,E,4,10000.0
F4,1.129899979,F,4,10000.0
G4,1.0977,G,4,10000.0
H4,0.36649999,H,4,10000.0
A5,1.141499996,A,5,10000.0
B5,1.172000051,B,5,10000.0
C5,0.951600015,C,5,10000.0
D5,1.095999956,D,5,10000.0
E5,1.105800033,E,5,10000.0
F5,0.950999975,F,5,10000.0
G5,1.206200004,G,5,10000.0
H5,0.3565,H,5,10000.0
A6,1.163100004,A,6,10000.0
B6,1.093500018,B,6,10000.0
C6,1.095700026,C,6,10000.0
D6,1.047099948,D,6,10000.0
E6,1.139700055,E,6,10000.0
F6,1.222800016,F,6,10000.0
G6,1.023900032,G,6,10000.0
H6,0.361000001,H,6,10000.0
A7,1.163400054,A,7,1000000.0
B7,1.124300003,B,7,1000000.0
C7,0.908999979,C,7,1000000.0
D7,1.079699993,D,7,1000000.0
E7,1.300699949,E,7,1000000.0
F7,1.184200048,F,7,1000000.0
G7,1.097200036,G,7,1000000.0
H7,0.354699999,H,7,1000000.0
A8,0.928799987,A,8,1000000.0
B8,1.127099991,B,8,1000000.0
C8,0.947300017,C,8,1000000.0
D8,1.101600051,D,8,1000000.0
E8,1.114199996,E,8,1000000.0
F8,1.039899945,F,8,1000000.0
G8,1.043099999,G,8,1000000.0
H8,0.388399988,H,8,1000000.0
A9,1.072000027,A,9,1000000.0
B9,1.087900043,B,9,1000000.0
C9,0.959599972,C,9,1000000.0
D9,1.126099944,D,9,1000000.0
E9,1.006800056,E,9,1000000.0
F9,0.965600014,F,9,1000000.0
G9,1.096099973,G,9,1000000.0
H9,0.399100006,H,9,1000000.0
A10,1.142799973,A,10,100000000.0
B10,1.143000007,B,10,100000000.0
C10,0.999199986,C,10,100000000.0
D10,1.151000023,D,10,100000000.0
E10,1.023800015,E,10,100000000.0
F10,1.051499963,F,10,100000000.0
G10,1.120399952,G,10,100000000.0
H10,0.338699996,H,10,100000000.0
A11,1.094699979,A,11,100000000.0
B11,1.03670001,B,11,100000000.0
C11,0.967299998,C,11,100000000.0
D11,1.081799984,D,11,100000000.0
E11,1.066499949,E,11,100000000.0
F11,1.060600042,F,11,100000000.0
G11,0.959599972,G,11,100000000.0
H11,0.340499997,H,11,100000000.0
A12,1.162700057,A,12,100000000.0
B12,1.257099986,B,12,100000000.0
C12,1.226199985,C,12,100000000.0
D12,1.198099971,D,12,100000000.0
E12,1.162299991,E,12,100000000.0
F12,1.306300044,F,12,100000000.0
G12,1.292199969,G,12,100000000.0
H12,0.333999991,H,12,100000000.0
