Well,OD,BioRep,Col,Dose
A1,0.750199974,A,1,0.0
B1,1.069900036,B,1,0.0
C1,0.755800009,C,1,0.0
D1,1.197299957,D,1,0.0
E1,1.227599978,E,1,0.0
F1,1.038599968,F,1,0.0
G1,0.913100004,G,1,0.0
H1,0.183799997,H,1,0.0
A2,0.742299974,A,2,0.0
B2,1.060600042,B,2,0.0
C2,0.737800002,C,2,0.0
D2,1.173400044,D,2,0.0
E2,1.18719995,E,2,0.0
F2,0.968999982,F,2,0.0
G2,0.753000021,G,2,0.0
H2,0.1963,H,2,0.0
A3,0.75910002,A,3,0.0
B3,1.064399958,B,3,0.0
C3,1.060199976,C,3,0.0
D3,1.168599963,D,3,0.0
E3,1.165099978,E,3,0.0
F3,0.997799993,F,3,0.0
G3,0.742200017,G,3,0.0
H3,0.205400005,H,3,0.0
A4,0.760200024,A,4,10000.0
B4,0.839900017,B,4,10000.0
C4,0.994000018,C,4,10000.0
D4,1.078099966,D,4,10000.0
E4,1.14289999,E,4,10000.0
F4,0.980799973,F,4,10000.0
G4,0.905700028,G,4,10000.0
H4,0.246000007,H,4,10000.0
A5,0.762300014,A,5,10000.0
B5,0.787899971,B,5,10000.0
C5,0.896300018,C,5,10000.0
D5,1.069300056,D,5,10000.0
E5,1.177399993,E,5,10000.0
F5,1.008399963,F,5,10000.0
G5,0.869400024,G,5,10000.0
H5,0.238399997,H,5,10000.0
A6,0.759800017,A,6,10000.0
B6,1.062299967,B,6,10000.0
C6,1.037199974,C,6,10000.0
D6,1.125200033,D,6,10000.0
E6,1.152699947,E,6,10000.0
F6,1.001600027,F,6,10000.0
G6,0.996999979,G,6,10000.0
H6,0.252400011,H,6,10000.0
A7,0.763999999,A,7,1000000.0
B7,0.842100024,B,7,1000000.0
C7,0.924300015,C,7,1000000.0
D7,1.065199971,D,7,1000000.0
E7,1.051399946,E,7,1000000.0
F7,0.932099998,F,7,1000000.0
G7,0.95630002,G,7,1000000.0
H7,0.247600004,H,7,1000000.0
A8,0.769800007,A,8,1000000.0
B8,1.035300016,B,8,1000000.0
C8,1.018900037,C,8,1000000.0
D8,1.132799983,D,8,1000000.0
E8,1.219400048,E,8,1000000.0
F8,1.019899964,F,8,1000000.0
G8,1.014600039,G,8,1000000.0
H8,0.248500004,H,8,1000000.0
A9,0.756699979,A,9,1000000.0
B9,0.587000012,B,9,1000000.0
C9,0.897099972,C,9,1000000.0
D9,1.04489994,D,9,1000000.0
E9,1.044399977,E,9,1000000.0
F9,1.015100002,F,9,1000000.0
G9,0.909699976,G,9,1000000.0
H9,0.247899994,H,9,1000000.0
A10,0.742299974,A,10,100000000.0
B10,0.817499995,B,10,100000000.0
C10,0.849600017,C,10,100000000.0
D10,0.972000003,D,10,100000000.0
E10,1.065600038,E,10,100000000.0
F10,0.956399977,F,10,100000000.0
G10,0.907400012,G,10,100000000.0
H10,0.233500004,H,10,100000000.0
A11,0.72329998,A,11,100000000.0
B11,0.853500009,B,11,100000000.0
C11,0.808200002,C,11,100000000.0
D11,1.061400056,D,11,100000000.0
E11,1.07249999,E,11,100000000.0
F11,1.005200028,F,11,100000000.0
G11,0.870100021,G,11,100000000.0
H11,0.210500002,H,11,100000000.0
A12,0.74119997,A,12,100000000.0
B12,0.585399985,B,12,100000000.0
C12,0.656199992,C,12,100000000.0
D12,1.136700034,D,12,100000000.0
E12,1.077299953,E,12,100000000.0
F12,1.061499953,F,12,100000000.0
G12,0.914699972,G,12,100000000.0
H12,0.220799997,H,12,100000000.0
